iter	RMSE
772	594.1518377
773	593.8385939
774	593.5179249
775	593.2023137
776	592.8798994
777	592.5616933
778	592.2521958
779	591.9347297
780	591.6217762
781	591.2924699
782	590.9712397
783	590.6505459
784	590.3441253
785	590.0326609
786	589.7151707
787	589.3976972
788	589.0873581
789	588.7768631
790	588.4607208
791	588.1521284
792	587.8377376
793	587.5306401
794	587.2199029
795	586.914095
796	586.6163168
797	586.3138184
798	586.0155922
799	585.7179547
800	585.4228319
801	585.1058727
802	584.8067048
803	584.5140492
804	584.2101768
805	583.9146224
806	583.6219411
807	583.3304723
808	583.0307785
809	582.7333405
810	582.4384996
811	582.1459192
812	581.8576171
813	581.5620981
814	581.2643814
815	580.979009
816	580.6916418
817	580.4029662
818	580.1070971
819	579.8196215
820	579.5348392
821	579.2460458
822	578.9590239
823	578.6649568
824	578.3787308
825	578.0971146
826	577.8080426
827	577.5184939
828	577.2378436
829	576.9441642
830	576.6631987
831	576.3794446
832	576.0981195
833	575.8237996
834	575.5401069
835	575.2543605
836	574.9710046
837	574.6958688
838	574.4135085
839	574.1291844
840	573.8532405
841	573.5757825
842	573.2973704
843	573.0147075
844	572.7314543
845	572.4457359
846	572.168303
847	571.9020606
848	571.6268504
849	571.3488882
850	571.0755779
851	570.8078333
852	570.5485337
853	570.2773175
854	570.0139288
855	569.7521399
856	569.487429
857	569.2175399
858	568.9373862
859	568.6730369
860	568.4073803
861	568.1385723
862	567.8715833
863	567.599954
864	567.3377706
865	567.069924
866	566.7957101
867	566.5324761
868	566.2695305
869	566.0168884
870	565.7564685
871	565.5027964
872	565.2532677
873	564.9924171
874	564.7331995
875	564.4734783
876	564.2218841
877	563.956683
878	563.7143774
879	563.4557682
880	563.2015214
881	562.9384902
882	562.6801284
883	562.4311117
884	562.1810365
885	561.9297861
886	561.6731448
887	561.4265079
888	561.1734171
889	560.9218385
890	560.6658714
891	560.4074734
892	560.1558358
893	559.915951
894	559.6732242
895	559.4330211
896	559.1773886
897	558.9395689
898	558.682553
899	558.4344577
900	558.1896563
901	557.9468886
902	557.706948
903	557.4519408
904	557.2137968
905	556.9642036
906	556.7321563
907	556.4902604
908	556.2489851
909	556.0110215
910	555.7762245
911	555.5413158
912	555.3117172
913	555.0747033
914	554.8361707
915	554.6063528
916	554.3647337
917	554.1394577
918	553.8942144
919	553.6445286
920	553.4036952
921	553.1680472
922	552.9324781
923	552.6998121
924	552.4653595
925	552.2315137
926	551.9941189
927	551.7617114
928	551.5322393
929	551.3043344
930	551.0770464
931	550.8470591
932	550.620457
933	550.3970307
934	550.1681278
935	549.9498667
936	549.7233792
937	549.5065837
938	549.2867013
939	549.0660707
940	548.8412699
941	548.6151428
942	548.3975774
943	548.1790812
944	547.9529904
945	547.7380272
946	547.5150641
947	547.2913988
948	547.0621824
949	546.8453632
950	546.6279758
951	546.4082963
952	546.18457
953	545.9678611
954	545.733841
955	545.511043
956	545.2868793
957	545.0738374
958	544.856835
959	544.6319576
960	544.4152127
961	544.1994361
962	543.9875193
963	543.7734179
964	543.5570969
965	543.3469109
966	543.1375825
967	542.9294195
968	542.7154679
969	542.5135649
970	542.2977098
971	542.0834593
972	541.8776742
973	541.6663728
974	541.4601072
975	541.2492006
976	541.0421475
977	540.8349011
978	540.616582
979	540.410024
980	540.2022904
981	540.0018658
982	539.7923589
983	539.5755198
984	539.3626563
985	539.1491372
986	538.9454958
987	538.7346388
988	538.5238528
989	538.3229819
990	538.1220033
991	537.915172
992	537.7066325
993	537.5025037
994	537.3081479
995	537.1009646
996	536.9035891
997	536.7056963
998	536.4993721
999	536.3053876
