iter	Passed	Remaining
429	1707	2263
430	1710	2258
431	1714	2253
432	1717	2249
433	1721	2245
434	1725	2241
435	1729	2237
436	1733	2233
437	1737	2228
438	1740	2224
439	1745	2221
440	1749	2217
441	1754	2214
442	1757	2210
443	1762	2206
444	1766	2202
445	1770	2199
446	1774	2194
447	1778	2190
448	1782	2187
449	1786	2183
450	1790	2179
451	1793	2174
452	1797	2170
453	1801	2166
454	1806	2163
455	1810	2159
456	1814	2155
457	1818	2151
458	1822	2148
459	1826	2144
460	1830	2140
461	1835	2136
462	1839	2133
463	1843	2129
464	1847	2125
465	1851	2121
466	1855	2117
467	1859	2113
468	1863	2109
469	1867	2106
470	1871	2101
471	1875	2098
472	1878	2093
473	1883	2089
474	1887	2086
475	1892	2082
476	1895	2078
477	1899	2074
478	1903	2070
479	1907	2066
480	1911	2062
481	1915	2059
482	1920	2055
483	1924	2051
484	1928	2047
485	1933	2044
486	1936	2040
487	1941	2036
488	1945	2033
489	1949	2029
490	1953	2025
491	1957	2021
492	1961	2016
493	1965	2012
494	1969	2008
495	1973	2005
496	1977	2001
497	1980	1996
498	1984	1992
499	1988	1988
500	1993	1985
501	1998	1982
502	2001	1977
503	2005	1973
504	2009	1969
505	2013	1965
506	2017	1962
507	2022	1958
508	2025	1953
509	2029	1950
510	2033	1946
511	2037	1942
512	2041	1938
513	2045	1934
514	2049	1930
515	2053	1926
516	2056	1921
517	2060	1917
518	2064	1913
519	2068	1909
520	2071	1904
521	2075	1900
522	2079	1896
523	2083	1892
524	2086	1888
525	2090	1884
526	2095	1880
527	2098	1875
528	2102	1872
529	2106	1868
530	2111	1864
531	2115	1860
532	2118	1856
533	2122	1852
534	2127	1848
535	2131	1844
536	2135	1840
537	2139	1837
538	2142	1832
539	2146	1828
540	2150	1824
541	2154	1820
542	2158	1816
543	2162	1812
544	2166	1808
545	2170	1804
546	2174	1800
547	2178	1796
548	2182	1793
549	2186	1789
550	2191	1785
551	2195	1781
552	2199	1777
553	2202	1773
554	2207	1769
555	2211	1766
556	2215	1762
557	2219	1758
558	2223	1754
559	2228	1750
560	2231	1746
561	2235	1742
562	2239	1738
563	2243	1734
564	2247	1730
565	2252	1726
566	2255	1722
567	2259	1718
568	2263	1714
569	2267	1710
570	2271	1706
571	2275	1702
572	2279	1698
573	2283	1695
574	2287	1691
575	2292	1687
576	2295	1682
577	2299	1679
578	2303	1675
579	2308	1671
580	2312	1667
581	2316	1663
582	2320	1659
583	2324	1656
584	2329	1652
585	2332	1648
586	2336	1644
587	2340	1639
588	2344	1635
589	2348	1631
590	2352	1627
591	2355	1623
592	2359	1619
593	2363	1615
594	2367	1611
595	2371	1607
596	2375	1603
597	2380	1599
598	2383	1595
599	2388	1592
600	2392	1588
601	2396	1584
602	2400	1580
603	2404	1576
604	2409	1572
605	2413	1568
606	2417	1565
607	2421	1561
608	2425	1557
609	2429	1553
610	2433	1549
611	2437	1545
612	2441	1541
613	2444	1537
614	2448	1532
615	2452	1528
616	2456	1524
617	2460	1520
618	2464	1516
619	2468	1512
620	2471	1508
621	2474	1504
622	2478	1500
623	2483	1496
624	2487	1492
625	2491	1488
626	2495	1484
